FastRoute,Fast request router for PHP
username,timestamp,url,sha,message
lcobucci,2019-06-12 12:12:30,https://api.github.com/repos/nikic/FastRoute/git/commits/e4001344506393b63e9373446e38eb8db228ef63,e4001344506393b63e9373446e38eb8db228ef63,Add PHPStan to build
lcobucci,2019-06-12 09:21:21,https://api.github.com/repos/nikic/FastRoute/git/commits/8551684e732f33a330f5d59c277b70a54bf9fff4,8551684e732f33a330f5d59c277b70a54bf9fff4,"Use a more strict comparison

Avoiding the weird behaviour of `empty()` and implicit conversions."
lcobucci,2019-06-12 09:18:57,https://api.github.com/repos/nikic/FastRoute/git/commits/ea1bbf56a8889df27aa1159352bd5abd6f9b036f,ea1bbf56a8889df27aa1159352bd5abd6f9b036f,Remove dynamic calls of static methods
lcobucci,2019-06-12 12:12:03,https://api.github.com/repos/nikic/FastRoute/git/commits/5d973087defdba5dac446701aba2d57461d91afb,5d973087defdba5dac446701aba2d57461d91afb,Configure PHPStan with some useful extensions
lcobucci,2019-06-12 07:28:43,https://api.github.com/repos/nikic/FastRoute/git/commits/89aca17bc275eeb2418eecf8301b372f1e772b22,89aca17bc275eeb2418eecf8301b372f1e772b22,"Configure PHPCS (#184)

* Remove irrelevant compatibility check

Since we're already requiring PHP 7.1+

* Initialise property directly

* Enable strict types

* Define constant visibility

* Standardise function signatures

Removing unnecessary annotations.

* Add Doctrine CS as dependency

* Add type information for arrays

* Add local aliases for functions and constants

* Remove unused imports

* Require whitespace after negation operator

* Keep argument name equals to parent class

* Standardise multi-line method calls

* Disallow short syntax for `for` statements

* Inline variables that are used only once

* Disallow yoda conditions

* Prefer early-exits

* Use `::class` references

* Require blank lines before returns

* Require trailing commas in arrays

* Make closures static when possible

* Require parenthesis for object creation

* Add PHPCS configuration

Using Doctrine CS but with some minor changes to adapt the way the code
in this project is.

* Add PHPCS to CI

* Disable Xdebug on CI

Making the PHP commands slightly faster."
lcobucci,2019-05-30 22:57:05,https://api.github.com/repos/nikic/FastRoute/git/commits/f571a12e101ae60e5ffb056d2a445f06d01ed564,f571a12e101ae60e5ffb056d2a445f06d01ed564,"Add PHPBench to the project

Allowing us to track performance changes more easily.

Inspiration for benchmark scenarios:

 - https://github.com/TimeToogo/RouterBenchmark
 - https://medium.com/@nicolas.grekas/making-symfonys-router-77-7x-faster-1-2-958e3754f0e1"
lcobucci,2019-05-30 22:24:28,https://api.github.com/repos/nikic/FastRoute/git/commits/8bd8c796aac457732b2b875a2f0b59b8a396b915,8bd8c796aac457732b2b875a2f0b59b8a396b915,Enable cache in Travis-CI
9034725985,2019-05-30 22:20:28,https://api.github.com/repos/nikic/FastRoute/git/commits/4c0d02aaf657c38eab9ca9bdbdf24823842d4412,4c0d02aaf657c38eab9ca9bdbdf24823842d4412,"add badge for travis ci (#157)

we should show off our travis ci badge"
giansalex,2019-05-30 22:13:53,https://api.github.com/repos/nikic/FastRoute/git/commits/3aa96f81597f34d6ea870132f480c3c3b8e54507,3aa96f81597f34d6ea870132f480c3c3b8e54507,ignore files in release (#150)
codemasher,2019-05-30 22:05:44,https://api.github.com/repos/nikic/FastRoute/git/commits/6a5f3abe514724792729f0487ed65629b00feb1f,6a5f3abe514724792729f0487ed65629b00feb1f,"PHP 7.1+ support (#177)

* :octocat: PHP 7.1, PhpUnit 7.5, proper PSR-4 autoloading

* :fire: bb hhvm

* :sparkles: added type hints and return types

* :shower: cleanup

* :octocat: PhpUnit 8 preparation

* Add PHP 7.4 and 8.0 to the build

Allowing them to fail because they're still being developed.

* Allow overriding PHPUnit configuration

* Add XSD to PHPUnit configuration file

Removing values that unnecessary and invalid items.

* Make PHPUnit a bit more strict"
samnela,2019-05-30 21:42:43,https://api.github.com/repos/nikic/FastRoute/git/commits/3eb2e7aee02c060577a57f6797cdde86a349a5ea,3eb2e7aee02c060577a57f6797cdde86a349a5ea,Added autoload-dev (#174)
nikic,2018-09-18 16:24:33,https://api.github.com/repos/nikic/FastRoute/git/commits/66cc306f8360f4d9a7a5b9ad8b3c9a85d12b6e5c,66cc306f8360f4d9a7a5b9ad8b3c9a85d12b6e5c,Master is targeting 2.0
kronthto,2018-08-19 11:46:04,https://api.github.com/repos/nikic/FastRoute/git/commits/dd929b38a127ca763f9dc4896320ebeb0c1fdc08,dd929b38a127ca763f9dc4896320ebeb0c1fdc08,Fix typo in Readme (#170)
Firehed,2018-06-27 09:01:28,https://api.github.com/repos/nikic/FastRoute/git/commits/a2b88881ee1780a2bd2b9e25a602aad95253af4d,a2b88881ee1780a2bd2b9e25a602aad95253af4d,Add first-class OPTIONS support (#168)
