minio,MinIO is a high performance object storage server compatible with Amazon S3 APIs
username,timestamp,url,sha,message
harshavardhana,2019-09-13 23:34:34,https://api.github.com/repos/minio/minio/git/commits/9ac12cf8980be9a1f5dfd9efbdf20d3afdd20046,9ac12cf8980be9a1f5dfd9efbdf20d3afdd20046,Remove unusued Set/GetConfigKeys API (#8235)
klauspost,2019-09-13 21:18:35,https://api.github.com/repos/minio/minio/git/commits/ddea0bdf117793a94e6912cd360c6ca7262138b9,ddea0bdf117793a94e6912cd360c6ca7262138b9,"Concurrent CSV parsing and reduce S3 select allocations (#8200)

```
CSV parsing, BEFORE:
BenchmarkReaderBasic-12         	    2842	    407533 ns/op	  397860 B/op	     957 allocs/op
BenchmarkReaderReplace-12       	    2718	    429914 ns/op	  397844 B/op	     957 allocs/op
BenchmarkReaderReplaceTwo-12    	    2718	    435556 ns/op	  397855 B/op	     957 allocs/op
BenchmarkAggregateCount_100K-12    	     171	   6798974 ns/op	16667102 B/op	  308077 allocs/op
BenchmarkAggregateCount_1M-12    	      19	  65657411 ns/op	168057743 B/op	 3146610 allocs/op
BenchmarkSelectAll_10M-12    	       1	20882119900 ns/op	2758799896 B/op	41978762 allocs/op

CSV parsing, AFTER:
BenchmarkReaderBasic-12         	    3721	    312549 ns/op	  101920 B/op	     338 allocs/op
BenchmarkReaderReplace-12       	    3776	    318810 ns/op	  101993 B/op	     340 allocs/op
BenchmarkReaderReplaceTwo-12    	    3610	    330967 ns/op	  102012 B/op	     341 allocs/op
BenchmarkAggregateCount_100K-12    	     295	   4149588 ns/op	 3553623 B/op	  103261 allocs/op
BenchmarkAggregateCount_1M-12    	      30	  37746503 ns/op	33827931 B/op	 1049435 allocs/op
BenchmarkSelectAll_10M-12    	       1	17608495800 ns/op	1416504040 B/op	21007082 allocs/op

~ benchcmp old.txt new.txt
benchmark                           old ns/op       new ns/op       delta
BenchmarkReaderBasic-12             407533          312549          -23.31%
BenchmarkReaderReplace-12           429914          318810          -25.84%
BenchmarkReaderReplaceTwo-12        435556          330967          -24.01%
BenchmarkAggregateCount_100K-12     6798974         4149588         -38.97%
BenchmarkAggregateCount_1M-12       65657411        37746503        -42.51%
BenchmarkSelectAll_10M-12           20882119900     17608495800     -15.68%

benchmark                           old allocs     new allocs     delta
BenchmarkReaderBasic-12             957            338            -64.68%
BenchmarkReaderReplace-12           957            340            -64.47%
BenchmarkReaderReplaceTwo-12        957            341            -64.37%
BenchmarkAggregateCount_100K-12     308077         103261         -66.48%
BenchmarkAggregateCount_1M-12       3146610        1049435        -66.65%
BenchmarkSelectAll_10M-12           41978762       21007082       -49.96%

benchmark                           old bytes      new bytes      delta
BenchmarkReaderBasic-12             397860         101920         -74.38%
BenchmarkReaderReplace-12           397844         101993         -74.36%
BenchmarkReaderReplaceTwo-12        397855         102012         -74.36%
BenchmarkAggregateCount_100K-12     16667102       3553623        -78.68%
BenchmarkAggregateCount_1M-12       168057743      33827931       -79.87%
BenchmarkSelectAll_10M-12           2758799896     1416504040     -48.66%
```

```
BenchmarkReaderHuge/97K-12         	    2200	    540840 ns/op	 184.32 MB/s	 1604450 B/op	     687 allocs/op
BenchmarkReaderHuge/194K-12        	    1522	    752257 ns/op	 265.04 MB/s	 2143135 B/op	    1335 allocs/op
BenchmarkReaderHuge/389K-12        	    1190	    947858 ns/op	 420.69 MB/s	 3221831 B/op	    2630 allocs/op
BenchmarkReaderHuge/778K-12        	     806	   1472486 ns/op	 541.61 MB/s	 5201856 B/op	    5187 allocs/op
BenchmarkReaderHuge/1557K-12       	     426	   2575269 ns/op	 619.36 MB/s	 9101330 B/op	   10233 allocs/op
BenchmarkReaderHuge/3115K-12       	     286	   4034656 ns/op	 790.66 MB/s	12397968 B/op	   16099 allocs/op
BenchmarkReaderHuge/6230K-12       	     172	   6830563 ns/op	 934.05 MB/s	16008416 B/op	   26844 allocs/op
BenchmarkReaderHuge/12461K-12      	     100	  11409467 ns/op	1118.39 MB/s	22655163 B/op	   48107 allocs/op
BenchmarkReaderHuge/24922K-12      	      66	  19780395 ns/op	1290.19 MB/s	35158559 B/op	   90216 allocs/op
BenchmarkReaderHuge/49844K-12      	      34	  37282559 ns/op	1369.03 MB/s	60528624 B/op	  174497 allocs/op
```"
harshavardhana,2019-09-13 19:09:39,https://api.github.com/repos/minio/minio/git/commits/e7f491a14b6c1b7b31f54b907b337795f4c5af4e,e7f491a14b6c1b7b31f54b907b337795f4c5af4e,"Use optimized sha256-simd whenever possible (#8227)

Avoid using `crypto/sha256` and use always
`github.com/minio/sha256-simd`"
Praveenrajmani,2019-09-12 23:44:51,https://api.github.com/repos/minio/minio/git/commits/8700945cdf8030dee02a2e3359e88c341c46f902,8700945cdf8030dee02a2e3359e88c341c46f902,"Handle connection failures on webhook/url pings (#8204)

Properly handle connection failures while replaying events

Fixes #8194"
harshavardhana,2019-09-12 22:29:59,https://api.github.com/repos/minio/minio/git/commits/ff6aabd9c013076aec94831a5e54bdeda9088d52,ff6aabd9c013076aec94831a5e54bdeda9088d52,"Honor standard HTTP headers for sourceIP (#8233)

Behind load balancers we should be tracing sourceIP
preserved by load balancers."
krisis,2019-09-12 21:52:30,https://api.github.com/repos/minio/minio/git/commits/6ba323b009f3e89e40e8018fc0a63b69083bae05,6ba323b009f3e89e40e8018fc0a63b69083bae05,"Add ability to test drive speeds on a MinIO setup (#7664)

- Extends existing Admin API to measure disk performance"
vadmeste,2019-09-12 20:08:02,https://api.github.com/repos/minio/minio/git/commits/e7b3f390647dcffaa603557a7a17a3baddcd1e49,e7b3f390647dcffaa603557a7a17a3baddcd1e49,"xl: Fix verifying non streaming highway algo with a dist setup (#8230)

VerifyFile in the distributed setup does not work with
the non streaming highway hash. The reason is that the
internode mux router did not expect `storageRESTBitrotHash`
parameter."
harshavardhana,2019-09-12 20:03:42,https://api.github.com/repos/minio/minio/git/commits/9fa727d15408f2812b26991764d8d4ae8f4a5715,9fa727d15408f2812b26991764d8d4ae8f4a5715,"Provide a friendlier error when an update fails (#8228)

Add upgrading documentation as well"
harshavardhana,2019-09-12 18:06:12,https://api.github.com/repos/minio/minio/git/commits/73e4e9994228b0574b9604b731b229eff25776ae,73e4e9994228b0574b9604b731b229eff25776ae,"Hosts should be skipped, when calculating local info (#8191)

endpoint.IsLocal will not have .Host entries so
using them to skip double entries will never work.

change the code such that we look for endpoint.Host
outside of endpoint.IsLocal logic to skip double
hosts appropriately.

Move these functions to their appropriate file."
digitalpardoe,2019-09-12 17:18:47,https://api.github.com/repos/minio/minio/git/commits/a87fc7d09bda8eb8b2a5755b0656871ab5c0e604,a87fc7d09bda8eb8b2a5755b0656871ab5c0e604,"Use the B2 'list' endpoint to determine file ID (#8169)

- More effective deletion and checking for existence.
- Rever Dockerfile.
- Add a 'GOPROXY' to the Dockerfile to workaround Apache issues."
